"PAGE","NUMBER","POS","REPO_PATH","LOCAL_AS_SITE_SHOWS","LOCAL_KIND","EXISTS","ON_904_SIDEWAYS_LIST","UPRIGHT_COPY"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","3","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (13).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (13).jpg","MIRROR","True","True","C:\Users\godbl\Desktop\PHOTO UPRIGHT CHECK 20260915\UPRIGHT_FIXED_20260915\gems-0001-0500-a__of 1348 HAND WRITTEN LYRICS (13)__UPRIGHT.jpg"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","10","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (32).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (32).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","22","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (64).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (64).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","27","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (76).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (76).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","28","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (77).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (77).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","28","2","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (78).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (78).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","28","3","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (79).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (79).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","31","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (85).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (85).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","31","2","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (86).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (86).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","33","1","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (88).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (88).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","33","2","gems-0001-0500-b/of 1348 HAND WRITTEN LYRICS (89).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-b\of 1348 HAND WRITTEN LYRICS (89).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","37","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (113).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (113).jpg","MIRROR","True","False",
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.html","65","1","gems-0001-0500-a/of 1348 HAND WRITTEN LYRICS (217).jpg","C:\(0.7) memob pic folders split\collabtunes-images\gems-0001-0500-a\of 1348 HAND WRITTEN LYRICS (217).jpg","MIRROR","True","False",
