"page","input","from","to","cards","photos","first_item","last_item"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.json","1","10","10","15","3","69"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.json","11","20","10","21","71","146"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220.json","21","30","10","21","152","211"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.json","1","10","10","20","221","332"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.json","11","20","10","14","335","416"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220.json","21","30","10","25","438","551"
"G01_SONG_FULL_LYRICS_PAGE_03_OF_03_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G01_SONG_FULL_LYRICS_PAGE_03_OF_03_V10F_W0220.json","1","10","10","26","552","1763"
"G01_SONG_FULL_LYRICS_PAGE_03_OF_03_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G01_SONG_FULL_LYRICS_PAGE_03_OF_03_V10F_W0220.json","11","14","4","8","1973","1978"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220.json","1","10","10","10","39","401"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220.json","11","20","10","16","412","1984"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220.json","21","30","10","15","17","339"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220.json","1","10","10","11","342","982"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220.json","11","13","3","9","984","1756"
"G03_POEM_IN_34_ALBUMS_PAGE_01_OF_13_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G03_POEM_IN_34_ALBUMS_PAGE_01_OF_13_V10F_W0220.json","1","10","10","15","2","36"
"G03_POEM_IN_34_ALBUMS_PAGE_01_OF_13_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G03_POEM_IN_34_ALBUMS_PAGE_01_OF_13_V10F_W0220.json","11","20","10","16","40","75"
"G03_POEM_IN_34_ALBUMS_PAGE_01_OF_13_V10F_W0220","C:\ITEM TYPE SYSTEM - 20260924\SPOT_CHECK_V10F_ON_A_READER_W0220_20260924\02_INPUT_ONE_FILE_PER_PAGE\G03_POEM_IN_34_ALBUMS_PAGE_01_OF_13_V10F_W0220.json","21","30","10","14","83","104"
